03.04.2025;Yes;shoulder press;9,5;10;10;10;;;dumbbell bicep curls;9,5;10;10;8,5;1;;;;;;;;;;;;;;;;;;;;;;;;
04.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.04.2025;Yes;decline dumbbell bench press;15;15;15;13,5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.04.2025;Yes;1-leg glute reach back squat;15;3;;;;idk, maybe differently, less weight;1-leg calf reaises;9,5;2;;;;need shoes or sth;;;;;;;;;;;;;;;;;;;;;;;
07.04.2025;Yes;narrow deficit pushups;0;15;15;9,5;8,5;needs carpet or sth;dumbbell deadlift;15;15;20;;;;;;;;;;;;;;;;;;;;;;;;;;
08.04.2025;Yes;dumbbell bicep curls;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.04.2025;Yes;weird lying dumbbell lower chest flies;5,5;17;12;9,5;;;dumbbell skullcrushers;5,5;10,5;7,5;;;;dumbbell bicep curls;5,5;20;20;;;;;;;;;;;;;;;;;;;
11.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.04.2025;Yes;barbell neck skullcrushers ss->;16,5;13;15;13;;;barbell closegrip bench press (2/3) ss<-;16,5;30;30;30;;;decline barbell bench press;22;30;30;27;;;;;;;;;;;;;;;;;;
24.04.2025;Yes;barbell deadlift;22;30;30;30;;;platform pullups;0;9;5;4;;;barbell bicep curls;22;7;7;8;;;;;;;;;;;;;;;;;;
25.04.2025;Yes;dumbbell squat;30;15;;;;;barbell squat;30;15;20;;;;;;;;;;;;;;;;;;;;;;;;;;
26.04.2025;Yes;dumbbell sitting tricep extentions;5,5;17;15;14;;;deficit narrow pushups;0;15;10;7,5;2,5;;lateral raises ss->;5,5;13;7;8;2;;upright rows ss<-;5,5;15;10;12;;;;;;;;;;;
27.04.2025;Yes;dumbbell bench press;15;20;18;16;;;hanging knee ups;0;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;
28.04.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.04.2025;Yes;incline lateral raises;5,5;15;19;14;5;;front dumbbell raises ss->;5,5;10;10;10;3;myo match;upright rows <-ss;5,5;10;10;15;;myo match (5,5);;;;;;;;;;;;;;;;
30.04.2025;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.05.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.05.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.05.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
